dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV2-vits,10,calib_ro,29.34,50.66,62.76
standard_benchmark,DepthAnythingV2-vits,10,calib_shift,61.94,50.66,63.92
standard_benchmark,DepthAnythingV2-vits,10,calib_shift_ro,46.86,50.66,73.03
standard_benchmark,DepthAnythingV2-vits,10,sf,28.18,50.66,53.98
standard_benchmark,DepthAnythingV2-vits,10,sf_ro,20.52,50.66,71.37
standard_benchmark,DepthAnythingV2-vits,10,sf_shift,20.7,50.66,35.47
standard_benchmark,DepthAnythingV2-vits,10,sf_shift_ro,21.5,50.66,56.96
standard_benchmark,DepthAnythingV2-vits,100,calib,51.34,50.66,66.21
standard_benchmark,DepthAnythingV2-vits,100,calib_ro,30.09,50.66,63.89
standard_benchmark,DepthAnythingV2-vits,100,calib_shift,73.57,50.66,71.08
standard_benchmark,DepthAnythingV2-vits,100,calib_shift_ro,49.38,50.66,75.21
standard_benchmark,DepthAnythingV2-vits,100,sf,35.98,50.66,64.07
standard_benchmark,DepthAnythingV2-vits,100,sf_ro,21.28,50.66,74.94
standard_benchmark,DepthAnythingV2-vits,100,sf_shift,34.47,50.66,54.63
standard_benchmark,DepthAnythingV2-vits,100,sf_shift_ro,27.95,50.66,72.72
standard_benchmark,DepthAnythingV2-vits,500,calib,55.54,50.66,69.19
standard_benchmark,DepthAnythingV2-vits,500,calib_ro,30.24,50.66,64.01
standard_benchmark,DepthAnythingV2-vits,500,calib_shift,76.59,50.66,72.41
standard_benchmark,DepthAnythingV2-vits,500,calib_shift_ro,49.88,50.66,75.48
standard_benchmark,DepthAnythingV2-vits,500,sf,39.04,50.66,67.14
standard_benchmark,DepthAnythingV2-vits,500,sf_ro,21.45,50.66,75.54
standard_benchmark,DepthAnythingV2-vits,500,sf_shift,42.68,50.66,61.98
standard_benchmark,DepthAnythingV2-vits,500,sf_shift_ro,29.8,50.66,76.03
standard_benchmark,DepthAnythingV2-vits,1000,calib,57.11,50.66,70.2
standard_benchmark,DepthAnythingV2-vits,1000,calib_ro,30.28,50.66,64.01
standard_benchmark,DepthAnythingV2-vits,1000,calib_shift,77.48,50.66,72.7
standard_benchmark,DepthAnythingV2-vits,1000,calib_shift_ro,49.96,50.66,75.52
standard_benchmark,DepthAnythingV2-vits,1000,sf,40.12,50.66,68.15
standard_benchmark,DepthAnythingV2-vits,1000,sf_ro,21.42,50.66,75.7
standard_benchmark,DepthAnythingV2-vits,1000,sf_shift,45.84,50.66,64.26
standard_benchmark,DepthAnythingV2-vits,1000,sf_shift_ro,30.45,50.66,76.9
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib,72.98,60.25,69.05
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,63.75,60.25,78.84
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,70.0,60.25,66.82
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,63.87,60.25,80.34
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf,60.14,60.25,66.78
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,54.88,60.25,85.12
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,23.28,60.25,35.86
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,31.28,60.25,58.9
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib,78.53,60.25,72.2
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,64.51,60.25,79.36
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,79.14,60.25,72.14
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,65.95,60.25,81.81
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf,67.56,60.25,71.76
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,55.96,60.25,86.16
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,39.07,60.25,55.24
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,41.94,60.25,75.89
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib,79.88,60.25,72.94
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,64.64,60.25,79.4
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,81.15,60.25,72.98
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,66.34,60.25,81.94
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf,69.48,60.25,72.68
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,55.98,60.25,86.31
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,48.58,60.25,62.8
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,45.4,60.25,79.86
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,80.18,60.25,73.11
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,64.68,60.25,79.4
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,81.63,60.25,73.17
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,66.43,60.25,81.96
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,69.9,60.25,72.94
