dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
ambiguous,DepthAnythingV2-vits,10,sf,26.62,63.4,51.99
ambiguous,DepthAnythingV2-vits,10,sf_ro,26.1,63.4,65.7
ambiguous,DepthAnythingV2-vits,10,sf_shift,9.2,63.4,26.65
ambiguous,DepthAnythingV2-vits,10,sf_shift_ro,10.97,63.4,37.69
ambiguous,DepthAnythingV2-vits,100,calib,25.74,63.4,54.89
ambiguous,DepthAnythingV2-vits,100,calib_ro,15.36,63.4,52.21
ambiguous,DepthAnythingV2-vits,100,calib_shift,60.69,63.4,65.8
ambiguous,DepthAnythingV2-vits,100,calib_shift_ro,37.8,63.4,65.82
ambiguous,DepthAnythingV2-vits,100,sf,30.06,63.4,59.6
ambiguous,DepthAnythingV2-vits,100,sf_ro,26.72,63.4,68.27
ambiguous,DepthAnythingV2-vits,100,sf_shift,17.8,63.4,43.38
ambiguous,DepthAnythingV2-vits,100,sf_shift_ro,15.77,63.4,54.16
ambiguous,DepthAnythingV2-vits,500,calib,30.3,63.4,59.64
ambiguous,DepthAnythingV2-vits,500,calib_ro,15.44,63.4,52.45
ambiguous,DepthAnythingV2-vits,500,calib_shift,65.7,63.4,67.85
ambiguous,DepthAnythingV2-vits,500,calib_shift_ro,38.29,63.4,66.12
ambiguous,DepthAnythingV2-vits,500,sf,31.16,63.4,62.64
ambiguous,DepthAnythingV2-vits,500,sf_ro,26.71,63.4,68.84
ambiguous,DepthAnythingV2-vits,500,sf_shift,24.83,63.4,51.69
ambiguous,DepthAnythingV2-vits,500,sf_shift_ro,18.69,63.4,59.7
ambiguous,DepthAnythingV2-vits,1000,calib,32.28,63.4,61.71
ambiguous,DepthAnythingV2-vits,1000,calib_ro,15.51,63.4,52.51
ambiguous,DepthAnythingV2-vits,1000,calib_shift,67.1,63.4,68.37
ambiguous,DepthAnythingV2-vits,1000,calib_shift_ro,38.7,63.4,66.13
ambiguous,DepthAnythingV2-vits,1000,sf,31.27,63.4,63.72
ambiguous,DepthAnythingV2-vits,1000,sf_ro,26.6,63.4,69.13
ambiguous,DepthAnythingV2-vits,1000,sf_shift,27.89,63.4,55.03
ambiguous,DepthAnythingV2-vits,1000,sf_shift_ro,19.31,63.4,61.61
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,calib,54.24,59.8,60.31
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,48.51,59.8,64.37
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,55.44,59.8,59.73
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,52.54,59.8,72.3
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,sf,50.83,59.8,61.2
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,47.24,59.8,75.2
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,10.51,59.8,26.19
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,17.42,59.8,37.02
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,calib,62.82,59.8,65.74
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,50.53,59.8,65.63
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,66.93,59.8,66.71
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,55.12,59.8,74.12
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,sf,58.58,59.8,66.95
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,48.51,59.8,77.1
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,23.03,59.8,44.04
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,24.86,59.8,55.43
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,calib,65.44,59.8,67.38
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,50.88,59.8,65.8
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,70.43,59.8,68.18
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,55.86,59.8,74.26
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,sf,60.63,59.8,68.42
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,48.7,59.8,77.43
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,32.54,59.8,53.07
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,28.09,59.8,61.98
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,66.18,59.8,67.89
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,50.91,59.8,65.8
