dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV2-vits,10,calib_ro,28.47,50.66,57.6
standard_benchmark,DepthAnythingV2-vits,10,calib_shift,61.04,50.66,66.12
standard_benchmark,DepthAnythingV2-vits,10,calib_shift_ro,44.55,50.66,66.71
standard_benchmark,DepthAnythingV2-vits,10,sf,29.5,50.66,56.56
standard_benchmark,DepthAnythingV2-vits,10,sf_ro,19.76,50.66,65.64
standard_benchmark,DepthAnythingV2-vits,10,sf_shift,23.36,50.66,39.26
standard_benchmark,DepthAnythingV2-vits,10,sf_shift_ro,20.32,50.66,54.26
standard_benchmark,DepthAnythingV2-vits,100,calib,50.92,50.66,67.75
standard_benchmark,DepthAnythingV2-vits,100,calib_ro,29.18,50.66,58.68
standard_benchmark,DepthAnythingV2-vits,100,calib_shift,68.97,50.66,71.48
standard_benchmark,DepthAnythingV2-vits,100,calib_shift_ro,47.15,50.66,69.09
standard_benchmark,DepthAnythingV2-vits,100,sf,35.29,50.66,65.56
standard_benchmark,DepthAnythingV2-vits,100,sf_ro,20.64,50.66,69.97
standard_benchmark,DepthAnythingV2-vits,100,sf_shift,37.48,50.66,58.54
standard_benchmark,DepthAnythingV2-vits,100,sf_shift_ro,26.04,50.66,68.71
standard_benchmark,DepthAnythingV2-vits,500,calib,54.45,50.66,70.44
standard_benchmark,DepthAnythingV2-vits,500,calib_ro,29.38,50.66,58.82
standard_benchmark,DepthAnythingV2-vits,500,calib_shift,71.13,50.66,72.5
standard_benchmark,DepthAnythingV2-vits,500,calib_shift_ro,47.7,50.66,69.39
standard_benchmark,DepthAnythingV2-vits,500,sf,37.68,50.66,68.35
standard_benchmark,DepthAnythingV2-vits,500,sf_ro,20.83,50.66,70.6
standard_benchmark,DepthAnythingV2-vits,500,sf_shift,44.82,50.66,65.2
standard_benchmark,DepthAnythingV2-vits,500,sf_shift_ro,28.26,50.66,71.59
standard_benchmark,DepthAnythingV2-vits,1000,calib,55.61,50.66,71.29
standard_benchmark,DepthAnythingV2-vits,1000,calib_ro,29.46,50.66,58.82
standard_benchmark,DepthAnythingV2-vits,1000,calib_shift,71.69,50.66,72.74
standard_benchmark,DepthAnythingV2-vits,1000,calib_shift_ro,47.78,50.66,69.44
standard_benchmark,DepthAnythingV2-vits,1000,sf,38.69,50.66,69.23
standard_benchmark,DepthAnythingV2-vits,1000,sf_ro,20.86,50.66,70.74
standard_benchmark,DepthAnythingV2-vits,1000,sf_shift,47.2,50.66,67.1
standard_benchmark,DepthAnythingV2-vits,1000,sf_shift_ro,28.84,50.66,72.36
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib,69.01,60.25,69.87
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,60.78,60.25,71.44
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,66.35,60.25,67.61
