group,dataset,mde,A.Rel,d1,A.Rel_si,d1_si,A.Rel_ssi,d1_ssi
standard_benchmark,sintel,DepthAnythingV2-vitb,135.15084142222415,1.4804066531733924,201.44249950008634,42.08224836637978,157.67837423340828,42.290956657576835
standard_benchmark,sintel,DepthAnythingV2-vitl,100.1464519572313,0.009375222323295053,335.09061448706217,43.51488911110142,168.87684391927635,42.06618612831154
standard_benchmark,sintel,DepthAnythingV2-vits,100.40871686115001,3.9526878433428005,102.638373240037,41.82256885242862,136.3363747560262,47.264928965114926
standard_benchmark,sintel,DepthAnythingV3-DA3METRIC-LARGE,43.44366238243861,25.896557373976613,22.955183192278856,67.08834231003053,87.73694076418326,72.89680658600898
standard_benchmark,sintel,DepthAnythingV3-DA3MONO-LARGE,71.15871723887551,8.883994088104558,31.90399304755015,52.62892800566093,93.06284254438332,71.41717721817813
standard_benchmark,sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,43.44366532653639,25.89655680593437,22.955188454143858,67.088341766293,87.73657671470565,72.8967386876463
standard_benchmark,sintel,DepthAnythingV3Calib-DA3MONO-LARGE,71.15871786520607,8.883988819040892,31.904222869570205,52.628644561829525,93.073915401108,71.41618481116674
standard_benchmark,sintel,DepthPro-vitl,586.0440082349072,25.351972756952573,34.09342853563212,67.08333407169505,97.42763787594045,68.2676087272048
standard_benchmark,sintel,DepthProCalib-vitl,551.3029343295868,22.865058989702614,36.501010802443254,67.07732612288645,97.32498768674033,68.26464286792968
standard_benchmark,sintel,InfiniDepth-vitl,648.5519366368961,12.843646248812993,155.11137800803084,44.65117402080077,76.93254420443441,43.547758705414346
standard_benchmark,sintel,MapAnything-map-anything,90.31127864542239,30.540081811208477,35.26265381149277,62.34541033452708,71.5502688364399,52.125190546713
standard_benchmark,sintel,MapAnythingCalib-map-anything,65.99998738418826,40.113145198165405,36.22690322045366,63.132770378443716,70.51514711652563,52.36843509996669
standard_benchmark,sintel,Metric3DV2-vit_giant2,47.48554190160496,19.17579054381242,19.0031700963305,73.94974315001288,60.04685387703618,78.16361184070622
standard_benchmark,sintel,Metric3DV2-vit_large,50.90341944823915,23.717332070763916,22.943017192993647,64.62881767791083,67.70728653765715,75.47446249986356
standard_benchmark,sintel,Metric3DV2-vit_small,82.66058218671874,11.682179249420171,26.70051724183229,62.658907012803176,78.70508325619593,67.68868099407435
standard_benchmark,sintel,Metric3DV2Calib-vit_giant2,35.99995212590722,42.33876123613577,19.00269664978871,73.95118514880298,60.04681928173637,78.1631402688544
standard_benchmark,sintel,Metric3DV2Calib-vit_large,48.97905155052764,24.717126363898767,22.94332513426523,64.63054203477797,67.70729281042658,75.47472297938812
standard_benchmark,sintel,Metric3DV2Calib-vit_small,73.3876114009985,25.761645975951893,26.70016692774951,62.658471972025566,78.70409686299037,67.6891925208476
standard_benchmark,sintel,MoGeV1-moge-vitl,87.85293791400092,13.07257080036437,23.58273201757573,71.53734933008498,64.51451817686576,74.1335281923168
standard_benchmark,sintel,MoGeV1Calib-moge-vitl,109.37367198734994,11.23749577287562,23.46708954206515,73.27570765350212,64.51442583397409,74.13278602076561
standard_benchmark,sintel,MoGeV2-moge-2-vitl,56.98677875084359,25.397019941311612,21.851982077364283,71.6893923564601,61.733332297852904,74.4741993672892
standard_benchmark,sintel,MoGeV2Calib-moge-2-vitl,77.09935918519183,27.39695829359786,19.56315099263852,76.17189523099339,61.733404964243014,74.47348403584161
standard_benchmark,sintel,Pi3-Pi3X,147.6829614808598,15.48907704814402,24.933065730415922,65.28669103063798,52.92221265081445,72.29421533059165
standard_benchmark,sintel,Pi3Calib-Pi3X,126.08684572728897,16.774299873491533,23.62686362177753,66.31221043674047,54.28981340767743,72.08789898551501
standard_benchmark,sintel,UniDepth1-cnvnxtl,68.2388855320752,21.276444252029204,28.95189831355978,64.20860989040783,72.39583927286277,60.338262226819715
standard_benchmark,sintel,UniDepth1-vitl14,70.14588061505047,17.608815883742892,27.63103067823288,67.20893344310635,91.28424757811958,60.04372330685737
standard_benchmark,sintel,UniDepth1Calib-cnvnxtl,74.80046022124158,22.70024878722339,28.808234052143252,64.59951828605996,71.37769556004235,60.72823524208391
standard_benchmark,sintel,UniDepth1Calib-vitl14,78.29691019881405,14.511719494570084,27.883348564937815,67.21174975396855,91.88506933699166,60.13451868619266
standard_benchmark,sintel,UniDepth2-vitb14,39.82161645439838,37.17457562316199,21.790855378772864,66.99370358130673,45.48732400990111,72.22039658257923
standard_benchmark,sintel,UniDepth2-vitl14,46.389360556391864,38.380102417116284,24.202391922508323,68.55959118565428,56.34214277734107,74.85999039333426
standard_benchmark,sintel,UniDepth2-vits14,380.1219622684131,28.713785613138857,24.411031090187695,64.19259712409753,58.80613950345725,68.39152634419139
standard_benchmark,sintel,UniDepth2Calib-vitb14,42.49812328959998,37.258564987771095,21.482764040797466,67.68217578306623,47.91901973667651,72.9916130775461
standard_benchmark,sintel,UniDepth2Calib-vitl14,52.69623479309038,38.766327891510905,23.826830132109464,69.11707904112394,56.67223684644589,74.76790530809285
standard_benchmark,sintel,UniDepth2Calib-vits14,349.0193889457001,23.827523843192886,24.375846415895786,64.08585638633777,58.01819820499035,68.38682110810666
standard_benchmark,sintel,UniK3D-vitl,38.37523961624703,45.87171585068235,20.783419100950553,69.67483582899972,50.10655414803474,76.66147945375627
standard_benchmark,sintel,UniK3DCalib-vitl,40.06930040002007,44.50586933559276,20.61095071771541,70.08342350947113,51.76385388328902,76.81437659724756
standard_benchmark,sintel,VGGT-VGGT-1B,71.31530359456225,6.155194347267414,25.875919977284745,69.2333241593411,96.7347555481947,62.99843304934664
standard_benchmark,eth3d,DepthAnythingV2-vitb,94.07040157769745,0.058147914290208616,26.784982320561284,76.27414469217413,21.345934943636543,75.14895591802797
standard_benchmark,eth3d,DepthAnythingV2-vitl,99.89458418365092,0.0010333545489515927,88.07754443900963,72.87680503834318,23.916594502372494,71.4259560626115
standard_benchmark,eth3d,DepthAnythingV2-vits,88.35785176260356,0.1878805997704699,25.009573136952742,76.02069348359423,21.127985038134035,75.78983442931711
standard_benchmark,eth3d,DepthAnythingV3-DA3METRIC-LARGE,11.70776547363545,89.97113044957177,5.089166619412864,97.95612890749251,5.196606378698729,96.8016729841936
standard_benchmark,eth3d,DepthAnythingV3-DA3MONO-LARGE,75.66271115767273,0.4720843909567641,10.31468712441656,87.55754638085807,5.971229129721152,96.17005384174311
standard_benchmark,eth3d,DepthAnythingV3Calib-DA3METRIC-LARGE,11.708209645987738,89.97113045613617,5.0896012366827295,97.9561179055779,5.198292539656031,96.79680605816947
standard_benchmark,eth3d,DepthAnythingV3Calib-DA3MONO-LARGE,75.66276354149049,0.4719890748783194,10.314838316636202,87.55755318156423,5.971787105179043,96.16946103810312
standard_benchmark,eth3d,DepthPro-vitl,38.468403664175504,32.98190048290571,7.2078464544554635,95.53427988425356,7.50831216871164,94.52844560638661
standard_benchmark,eth3d,DepthProCalib-vitl,35.041904699319915,36.486356130824625,7.307521668919218,95.53155008834759,7.5132296769366915,94.52550498038399
standard_benchmark,eth3d,InfiniDepth-vitl,177.38742610431453,15.736813309328644,114.27941597702745,52.87243385105866,30.43793760002119,56.02139186294593
standard_benchmark,eth3d,MapAnything-map-anything,18.840531192900457,70.4764522770071,6.4757071300061,95.03465591548297,7.431372610692115,94.24187196377616
standard_benchmark,eth3d,MapAnythingCalib-map-anything,18.340656014019828,70.4809149999499,6.414354930627714,95.0628442090776,7.3667452917824034,94.29971868508713
standard_benchmark,eth3d,Metric3DV2-vit_giant2,114.82658655370385,0.11402185241625391,4.288116055499713,98.05209861190309,4.076696262953368,97.80104898146071
standard_benchmark,eth3d,Metric3DV2-vit_large,110.22788475919926,0.1616677972768982,4.051444231889453,98.51478804969578,4.06804686455294,98.07269535138218
standard_benchmark,eth3d,Metric3DV2-vit_small,128.88157252829507,0.4158754577516116,6.0733202241755,95.68092633645965,5.78294535944985,96.45677800351828
standard_benchmark,eth3d,Metric3DV2Calib-vit_giant2,142.09437014510453,0.06187967813514982,4.288671969226869,98.05200739316479,4.076699613663266,97.8010555458489
standard_benchmark,eth3d,Metric3DV2Calib-vit_large,136.9055339812182,0.08742849934296548,4.051242217355888,98.51479271697578,4.068066561307414,98.07274903494881
standard_benchmark,eth3d,Metric3DV2Calib-vit_small,157.94297723911933,0.12621987368989301,6.0733803042255765,95.68166787272509,5.782926200257228,96.45666644830536
standard_benchmark,eth3d,MoGeV1-moge-vitl,65.14462107045797,6.4748232383192725,3.5317477646041744,98.77796821657256,3.438159034870532,98.76861444916494
standard_benchmark,eth3d,MoGeV1Calib-moge-vitl,66.42015239609496,3.8889451243761455,3.72767667286098,98.78963576014347,3.438155650620714,98.76856202596085
standard_benchmark,eth3d,MoGeV2-moge-2-vitl,10.3609343330142,90.92440639488144,3.7332264637771484,98.59476942848003,3.462980231906119,98.80986936423221
standard_benchmark,eth3d,MoGeV2Calib-moge-2-vitl,10.157824565229799,93.32028580775652,3.916237447185171,98.5378336144964,3.463000960500361,98.80993450265623
standard_benchmark,eth3d,Pi3-Pi3X,31.091128671049482,42.400111060401,3.304039151920621,98.54746095934628,3.3157034775566325,98.42139534356836
standard_benchmark,eth3d,Pi3Calib-Pi3X,29.386901843570797,46.54840853318998,3.2198937207210134,98.5329432109379,3.2802564837653927,98.39516722552051
standard_benchmark,eth3d,UniDepth1-cnvnxtl,48.096826793584924,22.28900896301927,7.339473682689575,95.4355399973592,6.691817458850303,96.3093927450117
standard_benchmark,eth3d,UniDepth1-vitl14,56.669612006501744,15.028410855911705,5.956270463255928,96.7470512516173,5.568483122111614,97.12911661763549
standard_benchmark,eth3d,UniDepth1Calib-cnvnxtl,30.00559601850709,48.958805268940694,7.634222944624033,95.10767341053959,6.92230799945178,96.15347542295372
standard_benchmark,eth3d,UniDepth1Calib-vitl14,44.25841916869456,27.164374797941115,5.951925222495251,96.76192355576066,5.631502608395293,97.10822794668475
standard_benchmark,eth3d,UniDepth2-vitb14,31.965141558798138,57.728560442348424,4.333375912213017,97.97860460134329,4.35400702672629,97.60380730336524
standard_benchmark,eth3d,UniDepth2-vitl14,21.47854122165016,68.53129363118245,3.3043539439767007,99.06261512098858,3.8065196325723494,98.2225705085872
standard_benchmark,eth3d,UniDepth2-vits14,50.67281716006771,44.965273386475815,6.124308341416625,95.55528205265557,5.994486036640694,95.8626495124485
standard_benchmark,eth3d,UniDepth2Calib-vitb14,23.13246383077346,75.35102712555513,4.256958825132165,98.09884673173207,4.358128153427713,97.63218582522657
standard_benchmark,eth3d,UniDepth2Calib-vitl14,15.219843821879065,85.17310806497677,3.265889025896394,99.10277434120094,3.8295208471355395,98.22430491841313
standard_benchmark,eth3d,UniDepth2Calib-vits14,41.19880475054622,58.7143679292062,5.947500884959614,95.69853013012116,5.875713020842112,96.14965314381973
standard_benchmark,eth3d,UniK3D-vitl,15.29032906316352,82.93171539177496,3.1071365308344756,99.0978243133045,4.2987721401886265,97.73545976777434
standard_benchmark,eth3d,UniK3DCalib-vitl,11.14255720421278,92.85762597117491,3.117812910970579,99.1199670252821,4.12493381015382,97.98448045413924
standard_benchmark,eth3d,VGGT-VGGT-1B,79.79024641445555,0.00112384139403764,4.503158144940035,97.00761475489529,4.558735579305579,96.64688420847123
standard_benchmark,scannetpp,DepthAnythingV2-vitb,89.22190108964145,0.2965326460868951,70.1941227529617,54.930472067720345,21.417827910634582,71.60008309367242
standard_benchmark,scannetpp,DepthAnythingV2-vitl,100.17738307963097,0.004298928404601266,280.7444825755687,50.154644530968056,29.752871289750672,59.946535879095684
standard_benchmark,scannetpp,DepthAnythingV2-vits,78.14050471060325,1.6644243774093548,61.1466856012283,55.13859375722639,21.34462512732189,72.34243708290097
standard_benchmark,scannetpp,DepthAnythingV3-DA3METRIC-LARGE,21.8199686115158,40.66802100823672,5.300572933481054,96.44886727984539,4.620515806334619,97.0821731762819
standard_benchmark,scannetpp,DepthAnythingV3-DA3MONO-LARGE,52.92071302580093,8.6599616659235,14.141371500421755,79.22359557133598,4.641342135064393,96.9821934980176
standard_benchmark,scannetpp,DepthAnythingV3Calib-DA3METRIC-LARGE,21.819968343873587,40.66802369408279,5.300573212082757,96.44886729980009,4.620516188014742,97.08217282009078
standard_benchmark,scannetpp,DepthAnythingV3Calib-DA3MONO-LARGE,52.920713090653656,8.65996164703183,14.141371436442046,79.22359579782166,4.641342093253091,96.98219305602132
standard_benchmark,scannetpp,DepthPro-vitl,66.28212127123673,38.872173569358104,12.42293358620962,95.6049666338724,5.329021962062243,96.43509429001793
standard_benchmark,scannetpp,DepthProCalib-vitl,40.40278620646277,85.87194181602614,15.462708673555284,95.6051262280775,5.329068369433221,96.4351346610899
standard_benchmark,scannetpp,InfiniDepth-vitl,356.72091719612433,22.240959364105656,158.90809688019493,46.678475144323016,32.23504468836521,50.57154284100474
standard_benchmark,scannetpp,MapAnything-map-anything,22.673417123799734,65.14278712463411,7.314383181870223,94.11046972833786,8.566131221167126,93.14233442992321
standard_benchmark,scannetpp,MapAnythingCalib-map-anything,20.407147105012474,70.84706932410616,7.345698341732869,94.07004990225522,8.550784301639922,93.02964981758838
standard_benchmark,scannetpp,Metric3DV2-vit_giant2,62.12981401487142,1.8598529223931646,6.036142246881241,96.40723877615422,6.540993345462875,94.04560362990007
standard_benchmark,scannetpp,Metric3DV2-vit_large,64.22577117812007,1.9757840405551452,6.020432117475077,95.97040243551433,6.929887410806941,93.93996179009066
standard_benchmark,scannetpp,Metric3DV2-vit_small,72.97288158669653,2.007414731878856,6.509689118567845,94.90510621485383,5.541975798819449,96.11774825425223
