dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthAnythingV2-vitl,500,sf,78.904678,1.016762,0.231048,213.144581,88.204977,0.799604
sintel,DepthAnythingV2-vitl,500,calib_shift,86.997258,0.379375,0.0,213.144581,88.034546,0.804006
sintel,DepthAnythingV2-vitl,500,sf_shift,75.398612,0.709209,0.166654,213.144581,98.473677,0.791212
sintel,DepthAnythingV2-vitl,500,calib_ro,74.312735,0.897936,0.0,213.144581,7.632332,0.765858
sintel,DepthAnythingV2-vitl,500,sf_ro,67.106569,1.656923,0.522275,213.144581,10.722172,0.757211
sintel,DepthAnythingV2-vitl,500,calib_shift_ro,65.763737,1.489249,0.0,213.144581,12.389062,0.762583
sintel,DepthAnythingV2-vitl,500,sf_shift_ro,62.969607,2.183481,0.563986,213.144581,25.3837,0.759297
sintel,DepthAnythingV2-vitl,1000,calib,82.815725,0.682736,0.0,213.144581,107.201238,0.608803
sintel,DepthAnythingV2-vitl,1000,sf,79.301744,0.990224,0.222325,213.144581,99.859583,0.807737
sintel,DepthAnythingV2-vitl,1000,calib_shift,87.175005,0.376642,0.0,213.144581,104.98745,0.81078
sintel,DepthAnythingV2-vitl,1000,sf_shift,76.702171,0.663801,0.156406,213.144581,120.983232,0.800979
sintel,DepthAnythingV2-vitl,1000,calib_ro,74.316397,0.8964,0.0,213.144581,10.00445,0.765955
sintel,DepthAnythingV2-vitl,1000,sf_ro,67.149991,1.656923,0.522758,213.144581,15.110286,0.757667
sintel,DepthAnythingV2-vitl,1000,calib_shift_ro,65.603961,1.528067,0.0,213.144581,14.916034,0.762843
sintel,DepthAnythingV2-vitl,1000,sf_shift_ro,63.01368,2.185288,0.563625,213.144581,37.72853,0.75972
sintel,DepthAnythingV2-vits,10,calib,81.0548,0.737998,0.0,53.727713,40.025162,0.748599
sintel,DepthAnythingV2-vits,10,sf,70.510248,1.552185,0.377664,53.727713,43.127727,0.699306
sintel,DepthAnythingV2-vits,10,calib_shift,82.049012,0.407934,0.0,53.727713,41.425138,0.774345
sintel,DepthAnythingV2-vits,10,sf_shift,59.749952,1.807355,0.432656,53.727713,43.026652,0.603331
sintel,DepthAnythingV2-vits,10,calib_ro,74.240422,0.940964,0.0,53.727713,2.630847,0.763506
sintel,DepthAnythingV2-vits,10,sf_ro,63.37604,1.95775,0.552279,53.727713,3.514018,0.709878
sintel,DepthAnythingV2-vits,10,calib_shift_ro,64.998465,1.68772,0.0,53.727713,5.900181,0.748438
sintel,DepthAnythingV2-vits,10,sf_shift_ro,58.025683,2.661547,0.610892,53.727713,8.673503,0.670707
sintel,DepthAnythingV2-vits,100,calib,85.129267,0.631226,0.0,53.727713,62.59102,0.800082
sintel,DepthAnythingV2-vits,100,sf,76.178933,1.216993,0.291597,53.727713,65.010937,0.775739
sintel,DepthAnythingV2-vits,100,calib_shift,86.761745,0.3452,0.0,53.727713,63.798636,0.813571
sintel,DepthAnythingV2-vits,100,sf_shift,71.761902,0.865855,0.254069,53.727713,70.330908,0.759643
sintel,DepthAnythingV2-vits,100,calib_ro,74.249725,0.933838,0.0,53.727713,4.441605,0.76743
sintel,DepthAnythingV2-vits,100,sf_ro,66.709402,1.728158,0.531743,53.727713,6.178891,0.759157
