dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
illusion,DepthAnythingV2-vits,100,calib,35.2,62.15,57.14
illusion,DepthAnythingV2-vits,100,calib_ro,21.83,62.15,37.84
illusion,DepthAnythingV2-vits,100,calib_shift,58.39,62.15,63.33
illusion,DepthAnythingV2-vits,100,calib_shift_ro,38.22,62.15,44.93
illusion,DepthAnythingV2-vits,100,sf,34.58,62.15,58.15
illusion,DepthAnythingV2-vits,100,sf_ro,26.37,62.15,50.08
illusion,DepthAnythingV2-vits,100,sf_shift,25.23,62.15,43.12
illusion,DepthAnythingV2-vits,100,sf_shift_ro,15.43,62.15,40.31
illusion,DepthAnythingV2-vits,500,calib,38.52,62.15,61.21
illusion,DepthAnythingV2-vits,500,calib_ro,22.12,62.15,38.01
illusion,DepthAnythingV2-vits,500,calib_shift,61.22,62.15,65.12
illusion,DepthAnythingV2-vits,500,calib_shift_ro,39.06,62.15,45.25
illusion,DepthAnythingV2-vits,500,sf,35.94,62.15,61.28
illusion,DepthAnythingV2-vits,500,sf_ro,26.64,62.15,50.78
illusion,DepthAnythingV2-vits,500,sf_shift,34.11,62.15,53.34
illusion,DepthAnythingV2-vits,500,sf_shift_ro,17.41,62.15,43.86
illusion,DepthAnythingV2-vits,1000,calib,39.9,62.15,62.8
illusion,DepthAnythingV2-vits,1000,calib_ro,22.2,62.15,38.05
illusion,DepthAnythingV2-vits,1000,calib_shift,62.3,62.15,65.54
illusion,DepthAnythingV2-vits,1000,calib_shift_ro,39.39,62.15,45.26
illusion,DepthAnythingV2-vits,1000,sf,36.71,62.15,62.25
illusion,DepthAnythingV2-vits,1000,sf_ro,26.7,62.15,50.97
illusion,DepthAnythingV2-vits,1000,sf_shift,36.59,62.15,55.99
illusion,DepthAnythingV2-vits,1000,sf_shift_ro,18.13,62.15,44.97
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,calib,49.39,72.42,57.34
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,39.2,72.42,43.67
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,55.01,72.42,56.23
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,45.85,72.42,47.92
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,sf,46.42,72.42,55.7
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,37.22,72.42,52.4
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,14.67,72.42,22.73
illusion,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,14.49,72.42,25.86
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,calib,55.68,72.42,62.93
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,40.68,72.42,45.08
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,62.23,72.42,63.38
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,49.15,72.42,50.3
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,sf,52.35,72.42,62.53
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,39.52,72.42,55.1
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,29.79,72.42,43.87
illusion,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,22.3,72.42,41.48
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,calib,58.06,72.42,64.84
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,40.93,72.42,45.27
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,64.88,72.42,65.06
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,50.0,72.42,50.54
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,sf,54.1,72.42,64.58
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,39.7,72.42,55.56
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,37.9,72.42,53.0
illusion,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,26.4,72.42,46.3
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,58.73,72.42,65.35
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,40.96,72.42,45.29
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,65.6,72.42,65.49
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,50.09,72.42,50.64
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,54.83,72.42,65.17
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,39.81,72.42,55.63
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,41.18,72.42,56.26
illusion,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,27.87,72.42,47.78
illusion,DepthAnythingV3-DA3MONO-LARGE,10,calib,30.08,69.39,50.1
illusion,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,18.66,69.39,35.77
illusion,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,56.75,69.39,57.59
illusion,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,51.54,69.39,51.0
illusion,DepthAnythingV3-DA3MONO-LARGE,10,sf,30.17,69.39,50.52
illusion,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,23.45,69.39,46.7
illusion,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,14.73,69.39,22.99
illusion,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,17.5,69.39,26.79
